year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
1997,31/12/1997,dwellings,1824774,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1998,31/12/1998,dwellings,1842017,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1999,31/12/1999,dwellings,1854254,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2000,31/12/2000,dwellings,1862766,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2001,31/12/2001,dwellings,1869865,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2002,31/12/2002,dwellings,1874313,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2003,31/12/2003,dwellings,1876049,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2004,31/12/2004,dwellings,1878538,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2005,31/12/2005,dwellings,1881837,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
2006,31/12/2006,dwellings,1884276,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
